seed,cxpb,mutpb,earliest_gen_of_max_value,max_value
1,0.0,1.0,27,835.3071178817211
1,0.1,0.9,36,835.3071178817211
1,0.2,0.8,35,835.3071178817211
1,0.3,0.7,30,835.3071178817211
1,0.4,0.6,50,835.3071178817211
1,0.5,0.5,41,835.3071178817211
1,0.6,0.4,105,835.3071178817211
1,0.7,0.3,117,835.3071178817211
1,0.8,0.2,126,835.3071178817211
1,0.9,0.1,185,835.3071178817211
1,1.0,0.0,0,379.22511873951873
2,0.0,1.0,27,749.7586152311013
2,0.1,0.9,30,749.7586152311013
2,0.2,0.8,38,749.7586152311013
2,0.3,0.7,11,749.7586152311013
2,0.4,0.6,38,749.7586152311013
2,0.5,0.5,42,749.7586152311013
2,0.6,0.4,47,749.7586152311013
2,0.7,0.3,90,749.7586152311013
2,0.8,0.2,193,749.7586152311013
2,0.9,0.1,147,740.6001364905939
2,1.0,0.0,0,403.0216472087536
3,0.0,1.0,55,694.0323682147426
3,0.1,0.9,36,694.0323682147426
3,0.2,0.8,37,694.0323682147426
3,0.3,0.7,36,694.0323682147426
3,0.4,0.6,98,694.0323682147426
3,0.5,0.5,78,694.0323682147426
3,0.6,0.4,49,694.0323682147426
3,0.7,0.3,74,687.5703005217723
3,0.8,0.2,125,694.0323682147426
3,0.9,0.1,172,673.3616553272441
3,1.0,0.0,0,319.63464347458336
4,0.0,1.0,100,728.0097970949893
4,0.1,0.9,88,728.0097970949893
4,0.2,0.8,29,728.0097970949893
4,0.3,0.7,30,728.0097970949893
4,0.4,0.6,51,728.0097970949893
4,0.5,0.5,44,728.0097970949893
4,0.6,0.4,148,728.0097970949893
4,0.7,0.3,159,728.0097970949893
4,0.8,0.2,158,723.8976919738471
4,0.9,0.1,178,722.412160522287
4,1.0,0.0,0,345.2614367619325
5,0.0,1.0,32,730.7934655541683
5,0.1,0.9,45,730.7934655541683
5,0.2,0.8,24,730.7934655541683
5,0.3,0.7,17,730.7934655541683
5,0.4,0.6,45,730.7934655541683
5,0.5,0.5,55,730.7934655541683
5,0.6,0.4,70,730.7934655541683
5,0.7,0.3,92,730.7934655541683
5,0.8,0.2,75,730.7934655541683
5,0.9,0.1,137,730.7934655541683
5,1.0,0.0,0,393.2989859873084
6,0.0,1.0,18,724.5962811459883
6,0.1,0.9,34,724.5962811459883
6,0.2,0.8,39,724.5962811459883
6,0.3,0.7,54,724.5962811459883
6,0.4,0.6,45,724.5962811459883
6,0.5,0.5,58,724.5962811459883
6,0.6,0.4,40,724.5962811459883
6,0.7,0.3,70,724.5962811459883
6,0.8,0.2,135,724.5962811459883
6,0.9,0.1,171,722.2494766507498
6,1.0,0.0,0,394.6868009845217
7,0.0,1.0,27,827.5930608204674
7,0.1,0.9,40,827.5930608204674
7,0.2,0.8,68,827.5930608204674
7,0.3,0.7,38,827.5930608204674
7,0.4,0.6,62,827.5930608204674
7,0.5,0.5,43,827.5930608204674
7,0.6,0.4,110,827.5930608204674
7,0.7,0.3,100,827.5930608204674
7,0.8,0.2,98,827.5930608204674
7,0.9,0.1,139,805.5189290649248
7,1.0,0.0,0,365.4446075843248
8,0.0,1.0,23,675.7026605338666
